International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
2021-090U,49297,OWLID000341 (SL0371) [ONEWEB 0371],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090M,49290,OWLID000334 (SL0364) [ONEWEB 0364],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AF,49308,OWLID000352 (SL0382) [ONEWEB 0382],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AG,49309,OWLID000353 (SL0383) [ONEWEB 0383],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AB,49304,OWLID000348 (SL0378) [ONEWEB 0378],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AH,49310,OWLID000354 (SL0384) [ONEWEB 0384],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AJ,49311,OWLID000355 (SL0385) [ONEWEB 0385],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AL,49313,OWLID000357 (SL0387) [ONEWEB 0387],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AA,49303,OWLID000347 (SL0377) [ONEWEB 0377],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AK,49312,OWLID000356 (SL0386) [ONEWEB 0386],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AM,49314,OWLID000358 (SL0388) [ONEWEB 0388],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AB,49304,OWLID000348 (SL0378) [ONEWEB 0378],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
2021-090AE,49307,OWLID000351 (SL0381) [ONEWEB 0381],United Kingdom,10/14/2021,,Yes,ST/SG/SER.E/1026,ST/SG/SER.E/1028,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 28 August 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1028.,Link
1998-067SX,, [SPACE HAUC],[(for USA)],[2021-10-12],,Yes,ST/SG/SER.E/1071,ST/SG/SER.E/1071,decayed,4/22/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from the ISS.,
1998-067SV,,CAPSat ,USA,[2021-10-12],,Yes,ST/SG/SER.E/1031,ST/SG/SER.E/1082,decayed,9/18/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,Date of launch is date of deployment from the ISS.,
[1998-067SW],, [PR CUNAR2],[(for USA)],[2021-10-12],,No,,,[decayed],[2022-08-30],------,Not registered with the United Nations. Date of launch is date of deployment from the ISS.,
1998-067SR,Apr-21,Binar 1 ,Australia,10/6/2021,,Yes,ST/SG/SER.E/1119,ST/SG/SER.E/1119,decayed,9/30/2022,Technical demonstrator of university designed and built hardware and software,Date of launch is date of deployment from the ISS. Date of launch of carrier vehicle also provided by State of registry in ST/SG/SER.E/1119.,
1998-067SU,Jun-21,Cuava 1 ,Australia,10/6/2021,,Yes,ST/SG/SER.E/1119,,decayed,9/2/2022,"Scientific research, technology demonstration, linking with the international radio amateur community, national capacity building",Date of launch is date of deployment from the ISS. Date of launch of carrier vehicle also provided by State of registry in ST/SG/SER.E/1119.,
1998-067SS,,Maya 3 ,Philippines,10/6/2021,,Yes,A/AC.105/INF/451,ST/SG/SER.E/1206,[decayed],8/4/2022,1. Demonstration of ground data acquisition using store-and-forward technology (S & F mission). 2. Commercial off-the-shelf Automatic Packet Reporting System (APRS) digital repeater payload demonstration on a CubeSat (APRS-DP mission). 3. Image and video capture (RGB CAM mission). 4. Global Positioning System (GPS) chip demonstration (GPS mission). 5. Detection of and protection from single-event latch-up due to space radiation (SEL mission). 6. Magnetic field measurement in space using an anisotropic magnetoresistance sensor (AMR-MM mission).,Date of launch is date of deployment from the ISS.,Link
1998-067ST,,Maya 4 ,Philippines,10/6/2021,,Yes,A/AC.105/INF/451,ST/SG/SER.E/1206,[decayed],8/8/2022,1. Demonstration of ground data acquisition using store-and-forward technology (S & F mission). 2. Commercial off-the-shelf Automatic Packet Reporting System (APRS) digital repeater payload demonstration on a CubeSat (APRS-DP mission). 3. Image and video capture (RGB CAM mission). 4. Demonstration of a near-infrared camera (NIR CAM mission). 5. GPS chip demonstration (GPS mission). 6. Detection of and protection from single-event latch-up due to space radiation (SEL mission). 7. Magnetic field measurement in space using an anisotropic magnetoresistance sensor (AMR-MM mission).,Date of launch is date of deployment from the ISS.,Link
[2021-089A],3573-2021-10,Soyuz MS-19 ,Russian Federation,10/5/2021,,Yes,ST/SG/SER.E/1028,,[recovered],[2022-03-30],"Delivery to the International Space Station of the crew of Expedition 66, consisting of Anton Nikolaevich Shkaplerov (Russian Federation), commander of the piloted transport vehicle, and space flight participants Yulia Sergeevna Peresild (Russian Federation) and Klim Alekseevich Shipenko (Russian Federation)",------,
2021-088B,,CS1 ,USA,9/27/2021,,Yes,ST/SG/SER.E/1050,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2021-088C,,CS2 ,USA,9/27/2021,,Yes,ST/SG/SER.E/1050,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2021-087A,,Shiyan 10 [(SY 10)],China,9/27/2021,,Yes,ST/SG/SER.E/1123,,in GSO,,Test satellite,------,
2021-086A,,Jilin-1 Gaofen 02D ,China,9/27/2021,,Yes,ST/SG/SER.E/1123,,in orbit,,"The mission of Jilin-01 Gaofen 2D is to obtain high spatial resolution colour static images of Earth observation, and provide remote sensing data services for land and resources monitoring, mineral resources development, smart city construction, forestry resources surveys, ecological environment monitoring, public health emergency response, etc.",------,
2021-088D,,CUTE LASP ,USA,9/27/2021,,Yes,ST/SG/SER.E/1031,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,-----,
2021-088A,,Landsat 9 ,USA,9/27/2021,,Yes,ST/SG/SER.E/1031,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2021-088E,,CuPID ,USA,9/27/2021,,Yes,ST/SG/SER.E/1031,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2021-085A,,Tianzhou 3 ,China,9/20/2021,,Yes,ST/SG/SER.E/1033,A/AC.105/1262,[deorbited],[2022-07-27],Cargo spacecraft,Notification by China in A/AC.105/1262 of preventive collision avoidance on 1 July 2021 with Starlink-1095 (international designator 2020-001BK) and 21 October 2021 with Starlink-2305 (international designator 2021-024N). Notification by China in A/AC.105/1262 of preventive collision avoidance on 1 July 2021 with Starlink-1095 (international designator 2020-001BK) and 21 October 2021 with Starlink-2305 (international designator 2021-024N). Notification by the United States in ST/SG/SER.E/1265 that the United States Space Command did not estimate a significant probability of collision between the CSS and the referenced US spacecraft.,
,,,,,,,,A/AC.105/1265,,,,,
2021-084A,,Inspiration 4 [(CREW DRAGON RESILIENCE)],USA,9/16/2021,,Yes,ST/SG/SER.E/1031,ST/SG/SER.E/1031,[recovered],9/18/2021,Reusable space transportation systems,------,
2021-082L,,Starlink 3118 ,USA,9/14/2021,,Yes,ST/SG/SER.E/1031,,[deorbited],[2024-10-07],Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,
2021-083W,49206,OWLID000309 (SL0340) [ONEWEB 0340],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AH,49217,OWLID000320 (SL0354) [ONEWEB 0354],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AJ,49218,OWLID000321 (SL0355) [ONEWEB 0355],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083AJ,49219,OWLID000322 (SL0357) [ONEWEB 0357],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083F,49191,OWLID000294 (SL0321) [ONEWEB 0321],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083E,49190,OWLID000293 (SL0320) [ONEWEB 0320],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083L,49196,OWLID000299 (SL0327) [ONEWEB 0327],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083C,49188,OWLID000291 (SL0306) [ONEWEB 0306],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083G,49192,OWLID000295 (SL0322) [ONEWEB 0322],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083K,49195,OWLID000298 (SL0326) [ONEWEB 0326],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
2021-083J,49194,OWLID000297 (SL0325) [ONEWEB 0325],United Kingdom,9/14/2021,,Yes,ST/SG/SER.E/1020,ST/SG/SER.E/1025,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 22 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1025.,Link
